kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,9/18/20,8:30 PM,1,FC Bayern ,18,FC Schalke 04,8,0,Germany,20
1,sobota,9/19/20,3:30 PM,8,E. Frankfurt,9,Arm. Bielefeld,1,1,Germany,20
1,sobota,9/19/20,3:30 PM,14,Union Berlin,5,FC Augsburg,1,3,Germany,20
1,sobota,9/19/20,3:30 PM,12,1. FC Köln,6,TSG Hoffenheim,2,3,Germany,20
1,sobota,9/19/20,3:30 PM,16,Werder Bremen,2,Hertha BSC,1,4,Germany,20
1,sobota,9/19/20,3:30 PM,13,VfB Stuttgart,7,SC Freiburg,2,3,Germany,20
1,sobota,9/19/20,6:30 PM,3,Bor. Dortmund,17,Bor. M'gladbach,3,0,Germany,20
1,nedelja,9/20/20,3:30 PM,4,RB Leipzig,15,1.FSV Mainz 05,3,1,Germany,20
1,nedelja,9/20/20,6:00 PM,11,VfL Wolfsburg,10,Bay. Leverkusen,0,0,Germany,20
2,petek,9/25/20,8:30 PM,2,Hertha BSC,8,E. Frankfurt,1,3,Germany,20
2,sobota,9/26/20,3:30 PM,17,Bor. M'gladbach,14,Union Berlin,1,1,Germany,20
2,sobota,9/26/20,3:30 PM,10,Bay. Leverkusen,4,RB Leipzig,1,1,Germany,20
2,sobota,9/26/20,3:30 PM,15,1.FSV Mainz 05,13,VfB Stuttgart,1,4,Germany,20
2,sobota,9/26/20,3:30 PM,5,FC Augsburg,3,Bor. Dortmund,2,0,Germany,20
2,sobota,9/26/20,3:30 PM,9,Arm. Bielefeld,12,1. FC Köln,1,0,Germany,20
2,sobota,9/26/20,6:30 PM,18,FC Schalke 04,16,Werder Bremen,1,3,Germany,20
2,nedelja,9/27/20,3:30 PM,6,TSG Hoffenheim,1,FC Bayern ,4,1,Germany,20
2,nedelja,9/27/20,6:00 PM,7,SC Freiburg,11,VfL Wolfsburg,1,1,Germany,20
3,petek,10/2/20,8:30 PM,14,Union Berlin,17,1.FSV Mainz 05,4,0,Germany,20
3,sobota,10/3/20,3:30 PM,10,Bor. Dortmund,5,SC Freiburg,4,0,Germany,20
3,sobota,10/3/20,3:30 PM,4,E. Frankfurt,1,TSG Hoffenheim,2,1,Germany,20
3,sobota,10/3/20,3:30 PM,16,1. FC Köln,15,Bor. M'gladbach,1,3,Germany,20
3,sobota,10/3/20,3:30 PM,11,Werder Bremen,6,Arm. Bielefeld,1,0,Germany,20
3,sobota,10/3/20,3:30 PM,8,VfB Stuttgart,12,Bay. Leverkusen,1,1,Germany,20
3,sobota,10/3/20,6:30 PM,3,RB Leipzig,18,FC Schalke 04,4,0,Germany,20
3,nedelja,10/4/20,3:30 PM,13,VfL Wolfsburg,2,FC Augsburg,0,0,Germany,20
3,nedelja,10/4/20,6:00 PM,7,FC Bayern ,9,Hertha BSC,4,3,Germany,20
4,sobota,10/17/20,3:30 PM,6,TSG Hoffenheim,5,Bor. Dortmund,0,1,Germany,20
4,sobota,10/17/20,3:30 PM,12,SC Freiburg,7,Werder Bremen,1,1,Germany,20
