kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,7/13/18,6:00 PM,1,Vejle BK,13,Hobro IK,3,1,Denmark,18
1,petek,7/13/18,8:15 PM,12,SönderjyskE,5,Aalborg BK,0,1,Denmark,18
1,sobota,7/14/18,7:00 PM,8,FC Midtjylland,9,Aarhus GF,0,0,Denmark,18
1,nedelja,7/15/18,12:00 PM,6,Nordsjaelland,7,Esbjerg fB,1,1,Denmark,18
1,nedelja,7/15/18,2:00 PM,3,Vendsyssel FF,10,Odense BK,3,2,Denmark,18
1,ponedeljek,7/16/18,6:00 PM,11,FC Copenhagen,4,AC Horsens,1,2,Denmark,18
1,ponedeljek,7/16/18,8:15 PM,14,Randers FC,2,Bröndby IF,0,2,Denmark,18
2,petek,7/20/18,7:00 PM,5,Aalborg BK,8,FC Midtjylland,2,1,Denmark,18
2,sobota,7/21/18,4:00 PM,7,Esbjerg fB,3,Vendsyssel FF,2,3,Denmark,18
2,nedelja,7/22/18,12:00 PM,4,AC Horsens,14,Randers FC,1,1,Denmark,18
2,nedelja,7/22/18,2:00 PM,10,Odense BK,12,SönderjyskE,2,2,Denmark,18
2,nedelja,7/22/18,4:00 PM,9,Aarhus GF,6,Nordsjaelland,1,1,Denmark,18
2,nedelja,7/22/18,6:00 PM,2,Bröndby IF,1,Vejle BK,1,1,Denmark,18
2,ponedeljek,7/23/18,7:00 PM,13,Hobro IK,11,FC Copenhagen,0,3,Denmark,18
3,petek,7/27/18,7:00 PM,11,SönderjyskE,5,AC Horsens,2,0,Denmark,18
3,sobota,7/28/18,4:00 PM,12,FC Midtjylland,10,Esbjerg fB,3,1,Denmark,18
3,nedelja,7/29/18,12:00 PM,7,Nordsjaelland,1,Vendsyssel FF,3,0,Denmark,18
3,nedelja,7/29/18,2:00 PM,13,Randers FC,9,Odense BK,1,0,Denmark,18
3,nedelja,7/29/18,4:00 PM,14,Hobro IK,4,Bröndby IF,1,2,Denmark,18
3,nedelja,7/29/18,6:00 PM,6,FC Copenhagen,2,Aalborg BK,4,0,Denmark,18
3,ponedeljek,7/30/18,7:00 PM,3,Vejle BK,8,Aarhus GF,1,1,Denmark,18
4,petek,8/3/18,6:00 PM,11,Aarhus GF,8,SönderjyskE,1,0,Denmark,18
4,sobota,8/4/18,4:00 PM,13,Esbjerg fB,10,Randers FC,3,3,Denmark,18
4,sobota,8/4/18,7:00 PM,6,Vejle BK,7,FC Midtjylland,1,3,Denmark,18
4,nedelja,8/5/18,2:00 PM,9,AC Horsens,14,Hobro IK,2,2,Denmark,18
4,nedelja,8/5/18,4:00 PM,12,Odense BK,2,FC Copenhagen,0,1,Denmark,18
