kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,8/10/18,8:00 PM,12,PEC Zwolle,5,Heerenveen,2,3,Netherlands,18
1,sobota,8/11/18,6:30 PM,14,Willem II,7,VVV-Venlo,0,1,Netherlands,18
1,sobota,8/11/18,6:30 PM,8,Ajax,11,Heracles Almelo,1,1,Netherlands,18
1,sobota,8/11/18,8:45 PM,3,PSV Eindhoven,17,FC Utrecht,4,0,Netherlands,18
1,sobota,8/11/18,8:45 PM,9,Excelsior,10,Fortuna Sittard,1,1,Netherlands,18
1,nedelja,8/12/18,12:15 PM,13,ADO Den Haag,6,FC Emmen,1,2,Netherlands,18
1,nedelja,8/12/18,2:30 PM,4,De Graafschap,15,Feyenoord,2,0,Netherlands,18
1,nedelja,8/12/18,2:30 PM,2,Vitesse,16,FC Groningen,5,1,Netherlands,18
1,nedelja,8/12/18,4:45 PM,1,AZ Alkmaar,18,NAC Breda,5,0,Netherlands,18
2,petek,8/17/18,8:00 PM,16,FC Groningen,14,Willem II,0,1,Netherlands,18
2,sobota,8/18/18,6:30 PM,18,NAC Breda,4,De Graafschap,3,0,Netherlands,18
2,sobota,8/18/18,6:30 PM,7,VVV-Venlo,8,Ajax,0,1,Netherlands,18
2,sobota,8/18/18,8:45 PM,10,Fortuna Sittard,3,PSV Eindhoven,1,2,Netherlands,18
2,sobota,8/18/18,8:45 PM,11,Heracles Almelo,13,ADO Den Haag,4,2,Netherlands,18
2,nedelja,8/19/18,12:15 PM,17,FC Utrecht,12,PEC Zwolle,2,0,Netherlands,18
2,nedelja,8/19/18,2:30 PM,15,Feyenoord,9,Excelsior,3,0,Netherlands,18
2,nedelja,8/19/18,2:30 PM,6,FC Emmen,1,AZ Alkmaar,1,4,Netherlands,18
2,nedelja,8/19/18,4:45 PM,5,Heerenveen,2,Vitesse,1,1,Netherlands,18
3,petek,8/24/18,8:00 PM,16,ADO Den Haag,14,Fortuna Sittard,3,1,Netherlands,18
3,sobota,8/25/18,6:30 PM,6,Ajax,11,FC Emmen,5,0,Netherlands,18
3,sobota,8/25/18,6:30 PM,10,De Graafschap,18,FC Groningen,0,1,Netherlands,18
3,sobota,8/25/18,8:45 PM,12,NAC Breda,15,Excelsior,0,2,Netherlands,18
3,sobota,8/25/18,8:45 PM,17,PEC Zwolle,2,PSV Eindhoven,1,2,Netherlands,18
3,nedelja,8/26/18,12:15 PM,9,Willem II,4,Heracles Almelo,5,0,Netherlands,18
3,nedelja,8/26/18,2:30 PM,5,Heerenveen,7,Feyenoord,3,5,Netherlands,18
3,nedelja,8/26/18,2:30 PM,13,FC Utrecht,8,VVV-Venlo,1,1,Netherlands,18
3,nedelja,8/26/18,4:45 PM,1,AZ Alkmaar,3,Vitesse,0,0,Netherlands,18
4,petek,8/31/18,8:00 PM,16,FC Emmen,13,De Graafschap,1,1,Netherlands,18
4,sobota,9/1/18,6:30 PM,7,VVV-Venlo,8,Heerenveen,1,1,Netherlands,18
4,sobota,9/1/18,7:45 PM,1,PSV Eindhoven,4,Willem II,6,1,Netherlands,18
4,sobota,9/1/18,7:45 PM,9,Excelsior,12,ADO Den Haag,2,4,Netherlands,18
4,sobota,9/1/18,8:45 PM,17,Fortuna Sittard,10,FC Utrecht,1,1,Netherlands,18
4,nedelja,9/2/18,12:15 PM,15,FC Groningen,18,PEC Zwolle,0,1,Netherlands,18
4,nedelja,9/2/18,2:30 PM,11,Heracles Almelo,2,AZ Alkmaar,3,2,Netherlands,18
4,nedelja,9/2/18,2:30 PM,6,Vitesse,3,Ajax,0,4,Netherlands,18
4,nedelja,9/2/18,4:45 PM,5,Feyenoord,14,NAC Breda,4,2,Netherlands,18
5,sobota,9/15/18,6:30 PM,12,De Graafschap,9,VVV-Venlo,1,2,Netherlands,18
5,sobota,9/15/18,6:30 PM,6,ADO Den Haag,1,PSV Eindhoven,0,7,Netherlands,18
5,sobota,9/15/18,8:45 PM,7,Willem II,13,Excelsior,2,2,Netherlands,18
5,sobota,9/15/18,8:45 PM,2,Ajax,16,FC Groningen,3,0,Netherlands,18
5,nedelja,9/16/18,12:15 PM,4,AZ Alkmaar,3,Feyenoord,1,1,Netherlands,18
5,nedelja,9/16/18,2:30 PM,17,NAC Breda,18,Fortuna Sittard,2,3,Netherlands,18
5,nedelja,9/16/18,2:30 PM,10,Heerenveen,5,Heracles Almelo,3,5,Netherlands,18
5,nedelja,9/16/18,2:30 PM,11,FC Utrecht,14,FC Emmen,1,2,Netherlands,18
5,nedelja,9/16/18,4:45 PM,15,PEC Zwolle,8,Vitesse,0,2,Netherlands,18
6,petek,9/21/18,8:00 PM,4,Heracles Almelo,15,De Graafschap,4,0,Netherlands,18
6,sobota,9/22/18,6:30 PM,11,Fortuna Sittard,8,Willem II,4,4,Netherlands,18
6,sobota,9/22/18,7:45 PM,13,Excelsior,12,Heerenveen,3,3,Netherlands,18
