kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,8/21/20,7:00 PM,12,G. Bordeaux,13,FC Nantes,0,0,France,20
1,sobota,8/22/20,5:00 PM,17,Dijon,7,SCO Angers,0,1,France,20
1,sobota,8/22/20,9:00 PM,11,LOSC Lille,10,Stade Rennais,1,1,France,20
1,nedelja,8/23/20,1:00 PM,9,Monaco,8,Stade Reims,2,2,France,20
1,nedelja,8/23/20,3:00 PM,2,FC Lorient,18,R. Strasbourg,3,1,France,20
1,nedelja,8/23/20,3:00 PM,1,Nîmes Olympique,20,Stade Brestois,4,0,France,20
1,nedelja,8/23/20,5:00 PM,4,OGC Nice,15,Lens,2,1,France,20
1,torek,9/15/20,9:00 PM,5,Montpellier,14,Olympique Lyon,2,1,France,20
1,sreda,9/16/20,9:00 PM,6,Paris SG,16,FC Metz,1,0,France,20
1,četrtek,9/17/20,9:00 PM,19,Marseille,3,Saint-Étienne,0,2,France,20
2,petek,8/28/20,9:00 PM,14,Olympique Lyon,17,Dijon,4,1,France,20
2,sobota,8/29/20,5:00 PM,10,Stade Rennais,5,Montpellier,2,1,France,20
2,sobota,8/29/20,9:00 PM,18,R. Strasbourg,4,OGC Nice,0,2,France,20
2,nedelja,8/30/20,1:00 PM,8,Stade Reims,11,LOSC Lille,0,1,France,20
2,nedelja,8/30/20,3:00 PM,16,FC Metz,9,Monaco,0,1,France,20
2,nedelja,8/30/20,3:00 PM,13,FC Nantes,1,Nîmes Olympique,2,1,France,20
2,nedelja,8/30/20,3:00 PM,7,SCO Angers,12,G. Bordeaux,0,2,France,20
2,nedelja,8/30/20,3:00 PM,3,Saint-Étienne,2,FC Lorient,2,0,France,20
2,nedelja,8/30/20,9:00 PM,20,Stade Brestois,19,Marseille,2,3,France,20
2,četrtek,9/10/20,9:00 PM,15,Lens,6,Paris SG,1,0,France,20
3,petek,9/11/20,9:00 PM,3,G. Bordeaux,9,Olympique Lyon,0,0,France,20
3,sobota,9/12/20,5:00 PM,10,Montpellier,2,OGC Nice,3,1,France,20
3,sobota,9/12/20,9:00 PM,1,Saint-Étienne,18,R. Strasbourg,2,0,France,20
3,nedelja,9/13/20,1:00 PM,6,LOSC Lille,17,FC Metz,1,0,France,20
3,nedelja,9/13/20,3:00 PM,11,FC Lorient,12,Lens,2,3,France,20
3,nedelja,9/13/20,3:00 PM,15,SCO Angers,16,Stade Reims,1,0,France,20
3,nedelja,9/13/20,3:00 PM,8,Nîmes Olympique,4,Stade Rennais,2,4,France,20
3,nedelja,9/13/20,3:00 PM,19,Dijon,20,Stade Brestois,0,2,France,20
3,nedelja,9/13/20,5:00 PM,5,Monaco,7,FC Nantes,2,1,France,20
3,nedelja,9/13/20,9:00 PM,13,Paris SG,14,Marseille,0,1,France,20
4,petek,9/18/20,9:00 PM,11,Olympique Lyon,13,Nîmes Olympique,0,0,France,20
4,sobota,9/19/20,5:00 PM,7,Lens,10,G. Bordeaux,2,1,France,20
4,sobota,9/19/20,9:00 PM,2,Stade Rennais,3,Monaco,2,1,France,20
4,nedelja,9/20/20,1:00 PM,6,OGC Nice,15,Paris SG,0,3,France,20
4,nedelja,9/20/20,3:00 PM,18,FC Metz,17,Stade Reims,2,1,France,20
4,nedelja,9/20/20,3:00 PM,19,R. Strasbourg,20,Dijon,1,0,France,20
4,nedelja,9/20/20,3:00 PM,5,Montpellier,9,SCO Angers,4,1,France,20
4,nedelja,9/20/20,3:00 PM,16,Stade Brestois,14,FC Lorient,3,2,France,20
4,nedelja,9/20/20,5:00 PM,12,FC Nantes,1,Saint-Étienne,2,2,France,20
4,nedelja,9/20/20,9:00 PM,8,Marseille,4,LOSC Lille,1,1,France,20
5,petek,9/25/20,9:00 PM,5,LOSC Lille,14,FC Nantes,2,0,France,20
5,sobota,9/26/20,5:00 PM,1,Saint-Étienne,2,Stade Rennais,0,3,France,20
5,sobota,9/26/20,9:00 PM,7,Marseille,17,FC Metz,1,1,France,20
5,nedelja,9/27/20,1:00 PM,13,G. Bordeaux,10,OGC Nice,0,0,France,20
5,nedelja,9/27/20,3:00 PM,6,Monaco,18,R. Strasbourg,3,2,France,20
5,nedelja,9/27/20,3:00 PM,11,SCO Angers,9,Stade Brestois,3,2,France,20
5,nedelja,9/27/20,3:00 PM,20,Dijon,3,Montpellier,2,2,France,20
5,nedelja,9/27/20,3:00 PM,15,Nîmes Olympique,4,Lens,1,1,France,20
5,nedelja,9/27/20,5:00 PM,16,FC Lorient,12,Olympique Lyon,1,1,France,20
5,nedelja,9/27/20,9:00 PM,19,Stade Reims,8,Paris SG,0,2,France,20
6,petek,10/2/20,9:00 PM,7,Paris SG,8,SCO Angers,6,1,France,20
6,sobota,10/3/20,5:00 PM,6,Lens,4,Saint-Étienne,2,0,France,20
6,sobota,10/3/20,9:00 PM,10,OGC Nice,15,FC Nantes,2,1,France,20
6,nedelja,10/4/20,1:00 PM,3,Montpellier,14,Nîmes Olympique,0,1,France,20
6,nedelja,10/4/20,3:00 PM,17,FC Metz,16,FC Lorient,3,1,France,20
6,nedelja,10/4/20,3:00 PM,13,Stade Brestois,5,Monaco,1,0,France,20
6,nedelja,10/4/20,3:00 PM,12,G. Bordeaux,20,Dijon,3,0,France,20
6,nedelja,10/4/20,3:00 PM,18,R. Strasbourg,2,LOSC Lille,0,3,France,20
6,nedelja,10/4/20,5:00 PM,1,Stade Rennais,19,Stade Reims,2,2,France,20
6,nedelja,10/4/20,9:00 PM,11,Olympique Lyon,9,Marseille,1,1,France,20
7,petek,10/16/20,7:00 PM,20,Dijon,1,Stade Rennais,1,1,France,20
7,petek,10/16/20,9:00 PM,13,Nîmes Olympique,4,Paris SG,0,4,France,20
7,sobota,10/17/20,5:00 PM,19,Stade Reims,17,FC Lorient,1,3,France,20
7,sobota,10/17/20,9:00 PM,10,Marseille,9,G. Bordeaux,3,1,France,20
7,nedelja,10/18/20,1:00 PM,18,R. Strasbourg,14,Olympique Lyon,2,3,France,20
7,nedelja,10/18/20,3:00 PM,12,SCO Angers,15,FC Metz,1,1,France,20
7,nedelja,10/18/20,3:00 PM,6,Monaco,5,Montpellier,1,1,France,20
7,nedelja,10/18/20,3:00 PM,16,FC Nantes,11,Stade Brestois,3,1,France,20
7,nedelja,10/18/20,5:00 PM,7,Saint-Étienne,8,OGC Nice,1,3,France,20
7,nedelja,10/18/20,9:00 PM,2,LOSC Lille,3,Lens,4,0,France,20
8,petek,10/23/20,9:00 PM,3,Stade Rennais,11,SCO Angers,1,2,France,20
8,sobota,10/24/20,5:00 PM,17,FC Lorient,6,Marseille,0,1,France,20
8,sobota,10/24/20,9:00 PM,2,Paris SG,20,Dijon,4,0,France,20
8,nedelja,10/25/20,3:00 PM,14,FC Metz,10,Saint-Étienne,2,0,France,20
8,nedelja,10/25/20,3:00 PM,13,Stade Brestois,18,R. Strasbourg,0,3,France,20
8,nedelja,10/25/20,3:00 PM,7,Montpellier,19,Stade Reims,0,4,France,20
8,nedelja,10/25/20,3:00 PM,12,G. Bordeaux,16,Nîmes Olympique,2,0,France,20
8,nedelja,10/25/20,5:00 PM,4,OGC Nice,1,LOSC Lille,1,1,France,20
8,nedelja,10/25/20,9:00 PM,9,Olympique Lyon,8,Monaco,4,1,France,20
8,sreda,11/25/20,7:00 PM,5,Lens,15,FC Nantes,1,1,France,20
