kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,sobota,9/12/20,4:00 PM,12,SD Eibar,13,Celta de Vigo,0,0,Spain,20
1,sobota,9/12/20,6:30 PM,5,Granada CF,18,Athletic,2,0,Spain,20
1,sobota,9/12/20,9:00 PM,19,Cádiz CF,6,CA Osasuna,0,2,Spain,20
1,nedelja,9/13/20,2:00 PM,14,Alavés,7,Real Betis,0,1,Spain,20
1,nedelja,9/13/20,4:00 PM,10,Real Valladolid,9,Real Sociedad,1,1,Spain,20
1,nedelja,9/13/20,6:30 PM,8,Villarreal,11,SD Huesca,1,1,Spain,20
1,nedelja,9/13/20,9:00 PM,2,Valencia,15,Levante,4,2,Spain,20
1,torek,1/12/21,9:30 PM,4,Atlético Madrid,16,Sevilla FC,2,0,Spain,20
1,torek,2/9/21,9:00 PM,3,Real Madrid,17,Getafe,2,0,Spain,20
1,sreda,2/24/21,7:00 PM,1,Barcelona,20,Elche CF,3,0,Spain,20
2,sobota,9/19/20,4:00 PM,8,Villarreal,12,SD Eibar,2,1,Spain,20
2,sobota,9/19/20,6:30 PM,17,Getafe,6,CA Osasuna,1,0,Spain,20
2,sobota,9/19/20,9:00 PM,13,Celta de Vigo,2,Valencia,2,1,Spain,20
2,nedelja,9/20/20,4:00 PM,11,SD Huesca,19,Cádiz CF,0,2,Spain,20
2,nedelja,9/20/20,6:30 PM,7,Real Betis,10,Real Valladolid,2,0,Spain,20
2,nedelja,9/20/20,6:30 PM,5,Granada CF,14,Alavés,2,1,Spain,20
2,nedelja,9/20/20,9:00 PM,9,Real Sociedad,3,Real Madrid,0,0,Spain,20
2,sreda,1/6/21,9:00 PM,18,Athletic,1,Barcelona,2,3,Spain,20
2,sreda,2/17/21,7:00 PM,15,Levante,4,Atlético Madrid,1,1,Spain,20
2,sreda,3/17/21,7:00 PM,16,Sevilla FC,20,Elche CF,2,0,Spain,20
3,sobota,9/26/20,1:00 PM,18,Alavés,11,Getafe,0,0,Spain,20
3,sobota,9/26/20,4:00 PM,8,Valencia,17,SD Huesca,1,1,Spain,20
3,sobota,9/26/20,6:30 PM,20,Elche CF,13,Real Sociedad,0,3,Spain,20
3,sobota,9/26/20,9:00 PM,3,Real Betis,5,Real Madrid,2,3,Spain,20
3,nedelja,9/27/20,12:00 PM,10,CA Osasuna,15,Levante,1,3,Spain,20
3,nedelja,9/27/20,2:00 PM,14,SD Eibar,19,Athletic,1,2,Spain,20
3,nedelja,9/27/20,4:00 PM,4,Atlético Madrid,2,Granada CF,6,1,Spain,20
3,nedelja,9/27/20,6:30 PM,12,Cádiz CF,9,Sevilla FC,1,3,Spain,20
3,nedelja,9/27/20,6:30 PM,16,Real Valladolid,7,Celta de Vigo,1,1,Spain,20
3,nedelja,9/27/20,9:00 PM,1,Barcelona,6,Villarreal,4,0,Spain,20
4,torek,9/29/20,7:00 PM,7,Real Sociedad,11,Valencia,0,1,Spain,20
4,torek,9/29/20,9:30 PM,9,Getafe,5,Real Betis,3,0,Spain,20
4,sreda,9/30/20,7:00 PM,17,SD Huesca,2,Atlético Madrid,0,0,Spain,20
4,sreda,9/30/20,7:00 PM,10,Villarreal,19,Alavés,3,1,Spain,20
4,sreda,9/30/20,9:30 PM,18,SD Eibar,20,Elche CF,0,1,Spain,20
4,sreda,9/30/20,9:30 PM,3,Real Madrid,16,Real Valladolid,1,0,Spain,20
4,četrtek,10/1/20,7:00 PM,4,Sevilla FC,12,Levante,1,0,Spain,20
4,četrtek,10/1/20,7:00 PM,13,Athletic,15,Cádiz CF,0,1,Spain,20
4,četrtek,10/1/20,9:30 PM,8,Celta de Vigo,1,Barcelona,0,3,Spain,20
4,torek,1/12/21,7:00 PM,6,Granada CF,14,CA Osasuna,2,0,Spain,20
5,sobota,10/3/20,1:00 PM,18,Real Valladolid,19,SD Eibar,1,2,Spain,20
5,sobota,10/3/20,4:00 PM,5,Atlético Madrid,8,Villarreal,0,0,Spain,20
5,sobota,10/3/20,6:30 PM,11,Real Sociedad,7,Getafe,3,0,Spain,20
5,sobota,10/3/20,6:30 PM,17,Elche CF,14,SD Huesca,0,0,Spain,20
5,sobota,10/3/20,9:00 PM,6,Valencia,9,Real Betis,0,2,Spain,20
5,nedelja,10/4/20,12:00 PM,16,CA Osasuna,12,Celta de Vigo,2,0,Spain,20
5,nedelja,10/4/20,2:00 PM,20,Alavés,15,Athletic,1,0,Spain,20
5,nedelja,10/4/20,4:00 PM,13,Levante,2,Real Madrid,0,2,Spain,20
5,nedelja,10/4/20,6:30 PM,10,Cádiz CF,4,Granada CF,1,1,Spain,20
5,nedelja,10/4/20,9:00 PM,1,Barcelona,3,Sevilla FC,1,1,Spain,20
6,sobota,10/17/20,1:00 PM,4,Granada CF,3,Sevilla FC,1,0,Spain,20
6,sobota,10/17/20,4:00 PM,13,Celta de Vigo,5,Atlético Madrid,0,2,Spain,20
6,sobota,10/17/20,6:30 PM,2,Real Madrid,10,Cádiz CF,0,1,Spain,20
6,sobota,10/17/20,9:00 PM,11,Getafe,1,Barcelona,1,0,Spain,20
6,nedelja,10/18/20,12:00 PM,18,SD Eibar,12,CA Osasuna,0,0,Spain,20
6,nedelja,10/18/20,2:00 PM,19,Athletic,14,Levante,2,0,Spain,20
6,nedelja,10/18/20,4:00 PM,8,Villarreal,9,Valencia,2,1,Spain,20
6,nedelja,10/18/20,6:30 PM,15,Alavés,16,Elche CF,0,2,Spain,20
6,nedelja,10/18/20,6:30 PM,17,SD Huesca,20,Real Valladolid,2,2,Spain,20
6,nedelja,10/18/20,9:00 PM,6,Real Betis,7,Real Sociedad,0,3,Spain,20
7,petek,10/23/20,9:00 PM,13,Elche CF,11,Valencia,2,1,Spain,20
7,sobota,10/24/20,4:00 PM,1,Barcelona,2,Real Madrid,1,3,Spain,20
7,sobota,10/24/20,6:30 PM,12,CA Osasuna,14,Athletic,1,0,Spain,20
7,sobota,10/24/20,6:30 PM,8,Sevilla FC,15,SD Eibar,0,1,Spain,20
7,sobota,10/24/20,9:00 PM,4,Atlético Madrid,10,Real Betis,2,0,Spain,20
7,nedelja,10/25/20,2:00 PM,20,Real Valladolid,19,Alavés,0,2,Spain,20
7,nedelja,10/25/20,4:00 PM,9,Cádiz CF,6,Villarreal,0,0,Spain,20
7,nedelja,10/25/20,6:30 PM,7,Getafe,3,Granada CF,0,1,Spain,20
7,nedelja,10/25/20,9:00 PM,5,Real Sociedad,16,SD Huesca,4,1,Spain,20
7,ponedeljek,10/26/20,9:00 PM,18,Levante,17,Celta de Vigo,1,1,Spain,20
8,petek,10/30/20,9:00 PM,13,SD Eibar,7,Cádiz CF,0,2,Spain,20
8,sobota,10/31/20,2:00 PM,1,Real Madrid,19,SD Huesca,4,1,Spain,20
8,sobota,10/31/20,4:00 PM,16,Athletic,8,Sevilla FC,2,1,Spain,20
8,sobota,10/31/20,6:30 PM,10,CA Osasuna,3,Atlético Madrid,1,3,Spain,20
8,sobota,10/31/20,9:00 PM,15,Alavés,5,Barcelona,1,1,Spain,20
8,nedelja,11/1/20,2:00 PM,12,Real Betis,11,Elche CF,3,1,Spain,20
8,nedelja,11/1/20,4:00 PM,17,Celta de Vigo,4,Real Sociedad,1,4,Spain,20
8,nedelja,11/1/20,6:30 PM,2,Granada CF,18,Levante,1,1,Spain,20
8,nedelja,11/1/20,9:00 PM,14,Valencia,9,Getafe,2,2,Spain,20
8,ponedeljek,11/2/20,9:00 PM,6,Villarreal,20,Real Valladolid,2,0,Spain,20
9,petek,11/6/20,9:00 PM,12,Elche CF,17,Celta de Vigo,1,1,Spain,20
9,sobota,11/7/20,2:00 PM,19,SD Huesca,16,SD Eibar,1,1,Spain,20
9,sobota,11/7/20,4:15 PM,6,Barcelona,8,Real Betis,5,2,Spain,20
9,sobota,11/7/20,6:30 PM,11,Sevilla FC,10,CA Osasuna,1,0,Spain,20
9,sobota,11/7/20,9:00 PM,2,Atlético Madrid,7,Cádiz CF,4,0,Spain,20
9,nedelja,11/8/20,2:00 PM,9,Getafe,5,Villarreal,1,3,Spain,20
9,nedelja,11/8/20,4:15 PM,3,Real Sociedad,4,Granada CF,2,0,Spain,20
9,nedelja,11/8/20,6:30 PM,18,Levante,15,Alavés,1,1,Spain,20
