kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,8/10/18,9:30 PM,7,Benfica,10,Vit. Guimarães,3,2,Portugal,18
1,sobota,8/11/18,5:30 PM,4,Vitória Setúbal,17,Desportivo Aves,2,0,Portugal,18
1,sobota,8/11/18,8:00 PM,11,Tondela,9,Belenenses SAD,0,1,Portugal,18
1,sobota,8/11/18,10:00 PM,1,FC Porto,18,Chaves,5,0,Portugal,18
1,nedelja,8/12/18,5:00 PM,8,Marítimo,12,Santa Clara,1,0,Portugal,18
1,nedelja,8/12/18,5:00 PM,6,Feirense,15,Rio Ave FC,2,0,Portugal,18
1,nedelja,8/12/18,7:30 PM,14,Moreirense ,3,Sporting CP,1,3,Portugal,18
1,nedelja,8/12/18,9:30 PM,2,SC Braga,13,Nacional,4,2,Portugal,18
1,ponedeljek,8/13/18,9:15 PM,16,Portimonense,5,Boavista,0,2,Portugal,18
2,petek,8/17/18,9:30 PM,17,Desportivo Aves,11,Tondela,2,2,Portugal,18
2,sobota,8/18/18,5:30 PM,18,Chaves,16,Portimonense,2,0,Portugal,18
2,sobota,8/18/18,8:00 PM,5,Boavista,7,Benfica,0,2,Portugal,18
2,sobota,8/18/18,10:00 PM,3,Sporting CP,4,Vitória Setúbal,2,1,Portugal,18
2,nedelja,8/19/18,5:00 PM,15,Rio Ave FC,8,Marítimo,3,1,Portugal,18
2,nedelja,8/19/18,5:00 PM,13,Nacional,14,Moreirense ,1,2,Portugal,18
2,nedelja,8/19/18,7:30 PM,9,Belenenses SAD,1,FC Porto,2,3,Portugal,18
2,nedelja,8/19/18,9:30 PM,12,Santa Clara,2,SC Braga,3,3,Portugal,18
2,ponedeljek,8/20/18,9:15 PM,10,Vit. Guimarães,6,Feirense,0,1,Portugal,18
3,petek,8/24/18,9:30 PM,12,Marítimo,10,Chaves,2,1,Portugal,18
3,sobota,8/25/18,5:30 PM,18,Portimonense,13,Santa Clara,2,2,Portugal,18
3,sobota,8/25/18,8:00 PM,3,Benfica,2,Sporting CP,1,1,Portugal,18
3,sobota,8/25/18,10:00 PM,1,FC Porto,16,Vit. Guimarães,2,3,Portugal,18
3,nedelja,8/26/18,5:00 PM,6,Vitória Setúbal,17,Nacional,1,2,Portugal,18
3,nedelja,8/26/18,5:00 PM,4,Feirense,8,Boavista,1,1,Portugal,18
3,nedelja,8/26/18,7:30 PM,14,Tondela,11,Rio Ave FC,1,1,Portugal,18
3,nedelja,8/26/18,9:30 PM,5,SC Braga,15,Desportivo Aves,3,1,Portugal,18
3,ponedeljek,8/27/18,9:15 PM,9,Moreirense ,7,Belenenses SAD,1,1,Portugal,18
4,petek,8/31/18,8:00 PM,12,Chaves,1,SC Braga,0,1,Portugal,18
4,petek,8/31/18,10:15 PM,11,Vit. Guimarães,16,Tondela,1,0,Portugal,18
4,sobota,9/1/18,5:30 PM,9,Belenenses SAD,14,Vitória Setúbal,0,0,Portugal,18
4,sobota,9/1/18,8:00 PM,15,Santa Clara,8,Boavista,4,2,Portugal,18
4,sobota,9/1/18,10:00 PM,3,Sporting CP,2,Feirense,1,0,Portugal,18
4,nedelja,9/2/18,5:00 PM,7,Rio Ave FC,18,Portimonense,2,1,Portugal,18
4,nedelja,9/2/18,5:00 PM,17,Desportivo Aves,6,Marítimo,0,1,Portugal,18
4,nedelja,9/2/18,7:30 PM,13,Nacional,4,Benfica,0,4,Portugal,18
4,nedelja,9/2/18,9:30 PM,5,FC Porto,10,Moreirense ,3,0,Portugal,18
5,petek,9/21/18,9:30 PM,12,Boavista,14,Chaves,1,2,Portugal,18
5,sobota,9/22/18,5:30 PM,9,Santa Clara,7,Rio Ave FC,1,3,Portugal,18
5,sobota,9/22/18,8:00 PM,5,Marítimo,10,Belenenses SAD,0,0,Portugal,18
5,sobota,9/22/18,10:00 PM,11,Vitória Setúbal,4,FC Porto,0,2,Portugal,18
5,nedelja,9/23/18,5:00 PM,16,Tondela,13,Moreirense ,2,0,Portugal,18
5,nedelja,9/23/18,5:00 PM,6,Feirense,15,Nacional,0,0,Portugal,18
5,nedelja,9/23/18,7:30 PM,3,Benfica,18,Desportivo Aves,2,0,Portugal,18
5,nedelja,9/23/18,9:30 PM,17,Portimonense,8,Vit. Guimarães,3,2,Portugal,18
5,ponedeljek,9/24/18,9:15 PM,1,SC Braga,2,Sporting CP,1,0,Portugal,18
6,četrtek,9/27/18,10:15 PM,10,Chaves,1,Benfica,2,2,Portugal,18
6,petek,9/28/18,9:30 PM,3,FC Porto,11,Tondela,1,0,Portugal,18
6,sobota,9/29/18,5:30 PM,14,Moreirense ,7,Feirense,1,0,Portugal,18
6,sobota,9/29/18,8:00 PM,5,Rio Ave FC,13,Boavista,2,1,Portugal,18
6,sobota,9/29/18,10:00 PM,4,Sporting CP,6,Marítimo,2,0,Portugal,18
6,nedelja,9/30/18,5:00 PM,15,Nacional,12,Santa Clara,0,3,Portugal,18
6,nedelja,9/30/18,7:30 PM,9,Vit. Guimarães,16,Vitória Setúbal,1,1,Portugal,18
6,nedelja,9/30/18,9:30 PM,8,Belenenses SAD,2,SC Braga,0,3,Portugal,18
6,ponedeljek,10/1/18,9:15 PM,18,Desportivo Aves,17,Portimonense,3,0,Portugal,18
7,petek,10/5/18,4:30 PM,13,Tondela,15,Nacional,1,1,Portugal,18
7,petek,10/5/18,7:00 PM,7,Santa Clara,10,Chaves,1,0,Portugal,18
7,petek,10/5/18,9:30 PM,8,Feirense,12,Belenenses SAD,0,0,Portugal,18
7,sobota,10/6/18,4:30 PM,14,Vitória Setúbal,11,Moreirense ,3,0,Portugal,18
7,sobota,10/6/18,7:00 PM,6,Marítimo,9,Vit. Guimarães,1,3,Portugal,18
7,sobota,10/6/18,9:30 PM,1,SC Braga,5,Rio Ave FC,1,1,Portugal,18
7,nedelja,10/7/18,4:00 PM,17,Boavista,16,Desportivo Aves,1,0,Portugal,18
7,nedelja,10/7/18,6:30 PM,3,Benfica,2,FC Porto,1,0,Portugal,18
7,nedelja,10/7/18,9:00 PM,18,Portimonense,4,Sporting CP,4,2,Portugal,18
8,petek,10/26/18,8:00 PM,17,Nacional,15,Portimonense,0,1,Portugal,18
8,petek,10/26/18,10:15 PM,7,Vit. Guimarães,2,SC Braga,1,1,Portugal,18
8,sobota,10/27/18,4:30 PM,18,Desportivo Aves,6,Santa Clara,1,2,Portugal,18
8,sobota,10/27/18,7:00 PM,4,Rio Ave FC,11,Chaves,1,0,Portugal,18
8,sobota,10/27/18,9:30 PM,13,Belenenses SAD,1,Benfica,2,0,Portugal,18
8,nedelja,10/28/18,4:00 PM,14,Moreirense ,8,Marítimo,1,0,Portugal,18
8,nedelja,10/28/18,4:00 PM,16,Tondela,10,Vitória Setúbal,1,2,Portugal,18
8,nedelja,10/28/18,6:30 PM,3,FC Porto,9,Feirense,2,0,Portugal,18
8,nedelja,10/28/18,9:00 PM,5,Sporting CP,12,Boavista,3,0,Portugal,18
9,petek,11/2/18,9:30 PM,3,Benfica,10,Moreirense ,1,3,Portugal,18
9,sobota,11/3/18,4:30 PM,9,Portimonense,11,Belenenses SAD,1,1,Portugal,18
9,sobota,11/3/18,7:00 PM,12,Marítimo,1,FC Porto,0,2,Portugal,18
9,sobota,11/3/18,9:30 PM,15,Boavista,8,Vit. Guimarães,0,0,Portugal,18
9,nedelja,11/4/18,4:00 PM,13,Feirense,16,Tondela,2,4,Portugal,18
9,nedelja,11/4/18,6:30 PM,6,Santa Clara,5,Sporting CP,1,2,Portugal,18
9,nedelja,11/4/18,9:00 PM,2,SC Braga,7,Vitória Setúbal,2,1,Portugal,18
9,ponedeljek,11/5/18,8:00 PM,4,Rio Ave FC,17,Nacional,3,3,Portugal,18
9,ponedeljek,11/5/18,10:15 PM,14,Chaves,18,Desportivo Aves,1,2,Portugal,18
10,petek,11/9/18,8:00 PM,7,Moreirense ,10,Portimonense,2,0,Portugal,18
10,petek,11/9/18,10:15 PM,11,Vitória Setúbal,14,Feirense,2,1,Portugal,18
10,sobota,11/10/18,4:30 PM,9,Belenenses SAD,15,Boavista,0,0,Portugal,18
10,sobota,11/10/18,4:30 PM,16,Desportivo Aves,4,Rio Ave FC,2,1,Portugal,18
10,sobota,11/10/18,7:00 PM,18,Nacional,12,Marítimo,1,0,Portugal,18
10,sobota,11/10/18,9:30 PM,1,FC Porto,2,SC Braga,1,0,Portugal,18
