kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje,drzava,sezona
1,petek,9/11/20,7:00 PM,12,C. Rizespor,8,Fenerbahce,1,2,Turkey,20
1,sobota,9/12/20,4:00 PM,18,Sivasspor,5,Alanyaspor,0,2,Turkey,20
1,sobota,9/12/20,4:00 PM,2,Karagümrük,20,Y. Malatyaspor,3,0,Turkey,20
1,sobota,9/12/20,7:00 PM,4,Galatasaray,16,Gaziantep FK,3,1,Turkey,20
1,sobota,9/12/20,7:00 PM,1,Göztepe,21,Denizlispor,5,1,Turkey,20
1,nedelja,9/13/20,4:00 PM,13,Ankaragücü,9,BB Erzurumspor,1,2,Turkey,20
1,nedelja,9/13/20,4:00 PM,10,Kayserispor,14,Kasimpasa,1,0,Turkey,20
1,nedelja,9/13/20,7:00 PM,15,Trabzonspor,3,Besiktas,1,3,Turkey,20
1,nedelja,9/13/20,7:00 PM,6,Antalyaspor,19,Genclerbirligi,2,0,Turkey,20
1,ponedeljek,9/14/20,7:00 PM,7,Hatayspor,17,Basaksehir,2,0,Turkey,20
2,petek,9/18/20,7:00 PM,20,Y. Malatyaspor,1,Göztepe,1,1,Turkey,20
2,sobota,9/19/20,12:30 PM,19,Genclerbirligi,11,Konyaspor,0,0,Turkey,20
2,sobota,9/19/20,3:00 PM,21,Denizlispor,15,Trabzonspor,0,0,Turkey,20
2,sobota,9/19/20,6:00 PM,3,Besiktas,6,Antalyaspor,1,1,Turkey,20
2,sobota,9/19/20,6:00 PM,5,Alanyaspor,10,Kayserispor,2,0,Turkey,20
2,nedelja,9/20/20,12:30 PM,9,BB Erzurumspor,18,Sivasspor,1,2,Turkey,20
2,nedelja,9/20/20,3:00 PM,14,Kasimpasa,12,C. Rizespor,2,0,Turkey,20
2,nedelja,9/20/20,6:00 PM,16,Gaziantep FK,2,Karagümrük,2,2,Turkey,20
2,nedelja,9/20/20,6:00 PM,17,Basaksehir,4,Galatasaray,0,2,Turkey,20
2,ponedeljek,9/21/20,7:00 PM,8,Fenerbahce,7,Hatayspor,0,0,Turkey,20
3,petek,9/25/20,7:00 PM,4,Karagümrük,21,Basaksehir,2,0,Turkey,20
3,sobota,9/26/20,12:30 PM,10,Kayserispor,11,BB Erzurumspor,1,3,Turkey,20
3,sobota,9/26/20,3:00 PM,8,Hatayspor,12,Kasimpasa,1,0,Turkey,20
