kolo,dan,datum,ura,id_domaci,lestvica_domaci,domaca_ekipa,id_gostje,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,tocke_domaci,zadetki_gostje,tocke_gostje,razlika_ekip,visja_na_lestvici,nizja_na_lestvici,remi
1,petek,8/16/19,9:00 PM,621,11,Athletic,131,2,FC Barcelona,1,3,0,0,9,2,11,0
1,sobota,8/17/19,5:00 PM,940,17,Celta de Vigo,418,1,Real Madrid,1,0,3,3,16,1,17,0
1,sobota,8/17/19,7:00 PM,1049,9,Valencia,681,7,Real Sociedad,1,1,1,1,2,7,9,1
1,sobota,8/17/19,8:00 PM,237,19,RCD Mallorca,1533,14,SD Eibar,2,3,1,0,5,14,19,0
1,sobota,8/17/19,9:00 PM,1244,18,CD Leganés,331,10,CA Osasuna,0,0,1,3,8,10,18,0
1,sobota,8/17/19,9:00 PM,1050,5,Villarreal,16795,6,Granada CF,4,1,4,1,1,5,6,1
1,nedelja,8/18/19,5:00 PM,1108,16,Alavés,3368,12,Levante,1,3,0,0,4,12,16,0
1,nedelja,8/18/19,7:00 PM,714,20,Espanyol,368,3,Sevilla FC,0,0,2,3,17,3,20,0
1,nedelja,8/18/19,9:00 PM,150,15,Real Betis,366,13,Real Valladolid,1,0,2,3,2,13,15,0
1,nedelja,8/18/19,10:00 PM,13,4,Atlético Madrid,3709,8,Getafe,1,3,0,0,4,4,8,0
2,petek,8/23/19,8:00 PM,16795,9,Granada CF,368,2,Sevilla FC,0,0,1,3,7,2,9,0
2,petek,8/23/19,10:00 PM,3368,18,Levante,1050,10,Villarreal,2,3,1,0,8,10,18,0
2,sobota,8/24/19,5:00 PM,331,8,CA Osasuna,1533,13,SD Eibar,0,1,0,1,5,8,13,1
2,sobota,8/24/19,7:00 PM,418,1,Real Madrid,366,3,Real Valladolid,1,1,1,1,2,1,3,1
2,sobota,8/24/19,9:00 PM,940,19,Celta de Vigo,1049,12,Valencia,1,3,0,0,7,12,19,0
2,sobota,8/24/19,9:00 PM,3709,16,Getafe,621,6,Athletic,1,1,1,1,10,6,16,1
2,nedelja,8/25/19,5:00 PM,1108,7,Alavés,714,20,Espanyol,0,1,0,1,13,7,20,1
2,nedelja,8/25/19,5:00 PM,237,4,RCD Mallorca,681,11,Real Sociedad,0,0,1,3,7,4,11,0
2,nedelja,8/25/19,7:00 PM,1244,17,CD Leganés,13,5,Atlético Madrid,0,0,1,3,12,5,17,0
2,nedelja,8/25/19,9:00 PM,131,15,FC Barcelona,150,14,Real Betis,5,3,2,0,1,14,15,0
3,petek,8/30/19,8:00 PM,368,1,Sevilla FC,940,12,Celta de Vigo,1,1,1,1,11,1,12,1
3,petek,8/30/19,10:00 PM,621,3,Athletic,681,4,Real Sociedad,2,3,0,0,1,3,4,0
3,sobota,8/31/19,5:00 PM,331,6,CA Osasuna,131,9,FC Barcelona,2,1,2,1,3,6,9,1
