kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje
1,petek,8/16/19,9:00 PM,11,Athletic,2,FC Barcelona,1,0
1,sobota,8/17/19,5:00 PM,17,Celta de Vigo,1,Real Madrid,1,3
1,sobota,8/17/19,7:00 PM,9,Valencia,7,Real Sociedad,1,1
1,sobota,8/17/19,8:00 PM,19,RCD Mallorca,14,SD Eibar,2,1
1,sobota,8/17/19,9:00 PM,18,CD Leganés,10,CA Osasuna,0,1
1,sobota,8/17/19,9:00 PM,5,Villarreal,6,Granada CF,4,4
1,nedelja,8/18/19,5:00 PM,16,Alavés,12,Levante,1,0
1,nedelja,8/18/19,7:00 PM,20,Espanyol,3,Sevilla FC,0,2
1,nedelja,8/18/19,9:00 PM,15,Real Betis,13,Real Valladolid,1,2
1,nedelja,8/18/19,10:00 PM,4,Atlético Madrid,8,Getafe,1,0
2,petek,8/23/19,8:00 PM,9,Granada CF,2,Sevilla FC,0,1
2,petek,8/23/19,10:00 PM,18,Levante,10,Villarreal,2,1
2,sobota,8/24/19,5:00 PM,8,CA Osasuna,13,SD Eibar,0,0
2,sobota,8/24/19,7:00 PM,1,Real Madrid,3,Real Valladolid,1,1
2,sobota,8/24/19,9:00 PM,19,Celta de Vigo,12,Valencia,1,0
2,sobota,8/24/19,9:00 PM,16,Getafe,6,Athletic,1,1
2,nedelja,8/25/19,5:00 PM,7,Alavés,20,Espanyol,0,0
2,nedelja,8/25/19,5:00 PM,4,RCD Mallorca,11,Real Sociedad,0,1
2,nedelja,8/25/19,7:00 PM,17,CD Leganés,5,Atlético Madrid,0,1
2,nedelja,8/25/19,9:00 PM,15,FC Barcelona,14,Real Betis,5,2
3,petek,8/30/19,8:00 PM,1,Sevilla FC,12,Celta de Vigo,1,1
3,petek,8/30/19,10:00 PM,3,Athletic,4,Real Sociedad,2,0
3,sobota,8/31/19,5:00 PM,6,CA Osasuna,9,FC Barcelona,2,2
